model_type,model_number,mse,rmse,mae,r2
Neural Network,0,0.2360260933637619,0.48582516748699,0.21419137716293335,0.7763658761978149
Random Forest,0,0.10085170930344375,0.31757158138511665,0.14233098895522786,0.904443254725912
Neural Network,1,0.11216071993112564,0.334904045856609,0.15818271040916443,0.8800426125526428
Random Forest,1,0.09005279181110709,0.30008797345296445,0.12889971959095015,0.90368732504444
Neural Network,2,0.10522330552339554,0.32438141981839147,0.1720712035894394,0.8842874765396118
Random Forest,2,0.0756921442461371,0.27512205336202533,0.13440106679051492,0.9167624482760343
Neural Network,3,0.11857404559850693,0.3443458226819471,0.1737230122089386,0.8884795308113098
Random Forest,3,0.10718528181593756,0.3273916336987516,0.1425705684654726,0.8991908231261204
Neural Network,4,0.1522665172815323,0.3902134252963784,0.18000085651874542,0.8503572940826416
Random Forest,4,0.09390627055959007,0.3064413003490066,0.140324293163729,0.9077118828502846
